No.,Time,Source,Destination,Protocol,Length,Info,Len
1,0.0,172.28.0.20,172.28.0.10,TCP,74,55206  >  5000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1939598059 TSecr=0 WS=1024,0
2,4.1e-05,172.28.0.10,172.28.0.20,TCP,74,"5000  >  55206 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3899494796 TSecr=1939598059 WS=1024",0
3,0.050212,172.28.0.20,172.28.0.10,TCP,66,55206  >  5000 [ACK] Seq=1 Ack=1 Win=64512 Len=0 TSval=1939598109 TSecr=3899494796,0
4,0.050268,172.28.0.20,172.28.0.10,TCP,171,"55206  >  5000 [PSH, ACK] Seq=1 Ack=1 Win=64512 Len=105 TSval=1939598109 TSecr=3899494796",105
5,0.050284,172.28.0.10,172.28.0.20,TCP,66,5000  >  55206 [ACK] Seq=1 Ack=106 Win=65536 Len=0 TSval=3899494846 TSecr=1939598109,0
6,0.050316,172.28.0.20,172.28.0.10,RSL,2962,[Malformed Packet],0
7,0.050322,172.28.0.10,172.28.0.20,TCP,66,5000  >  55206 [ACK] Seq=1 Ack=3002 Win=71680 Len=0 TSval=3899494847 TSecr=1939598109,0
8,0.050324,172.28.0.20,172.28.0.10,TCP,2962,"55206  >  5000 [PSH, ACK] Seq=3002 Ack=1 Win=64512 Len=2896 TSval=1939598109 TSecr=3899494796",2896
9,0.050328,172.28.0.10,172.28.0.20,TCP,66,5000  >  55206 [ACK] Seq=1 Ack=5898 Win=77824 Len=0 TSval=3899494847 TSecr=1939598109,0
10,0.05033,172.28.0.20,172.28.0.10,TCP,2962,"55206  >  5000 [PSH, ACK] Seq=5898 Ack=1 Win=64512 Len=2896 TSval=1939598109 TSecr=3899494796",2896
11,0.050336,172.28.0.10,172.28.0.20,TCP,66,5000  >  55206 [ACK] Seq=1 Ack=8794 Win=82944 Len=0 TSval=3899494847 TSecr=1939598109,0
12,0.050338,172.28.0.20,172.28.0.10,TCP,1514,[TCP Previous segment not captured] 55206  >  5000 [ACK] Seq=11690 Ack=1 Win=64512 Len=1448 TSval=1939598109 TSecr=3899494796,1448
13,0.050343,172.28.0.10,172.28.0.20,TCP,78,[TCP Window Update] 5000  >  55206 [ACK] Seq=1 Ack=8794 Win=86016 Len=0 TSval=3899494847 TSecr=1939598109 SLE=11690 SRE=13138,0
14,0.050593,172.28.0.10,172.28.0.20,TCP,66,"5000  >  51854 [FIN, ACK] Seq=1 Ack=1 Win=166 Len=0 TSval=3899494847 TSecr=1939212766",0
