"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.28.0.20","172.28.0.10","TCP","74","37376  >  5000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1939742742 TSecr=0 WS=1024"
"2","0.000054","172.28.0.10","172.28.0.20","TCP","74","5000  >  37376 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3899639529 TSecr=1939742742 WS=1024"
"3","0.100146","172.28.0.20","172.28.0.10","TCP","66","37376  >  5000 [ACK] Seq=1 Ack=1 Win=64512 Len=0 TSval=1939742842 TSecr=3899639529"
"4","0.100227","172.28.0.20","172.28.0.10","TCP","171","37376  >  5000 [PSH, ACK] Seq=1 Ack=1 Win=64512 Len=105 TSval=1939742842 TSecr=3899639529"
"5","0.100244","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=106 Win=65536 Len=0 TSval=3899639629 TSecr=1939742842"
"6","0.100338","172.28.0.20","172.28.0.10","RSL","2962","[Malformed Packet]"
"7","0.100351","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=3002 Win=71680 Len=0 TSval=3899639629 TSecr=1939742842"
"8","0.100369","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=3002 Ack=1 Win=64512 Len=2896 TSval=1939742842 TSecr=3899639529"
"9","0.100373","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=5898 Win=77824 Len=0 TSval=3899639629 TSecr=1939742842"
"10","0.100375","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=5898 Ack=1 Win=64512 Len=2896 TSval=1939742842 TSecr=3899639529"
"11","0.100379","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=8794 Win=82944 Len=0 TSval=3899639629 TSecr=1939742842"
"12","0.100499","172.28.0.10","172.28.0.20","TCP","66","5000  >  55206 [FIN, ACK] Seq=1 Ack=1 Win=96 Len=0 TSval=3899639630 TSecr=1939600920"
"13","0.200313","172.28.0.20","172.28.0.10","TCP","2962","[TCP Previous segment not captured] 37376  >  5000 [PSH, ACK] Seq=13138 Ack=1 Win=64512 Len=2896 TSval=1939742942 TSecr=3899639629"
"14","0.200345","172.28.0.10","172.28.0.20","TCP","78","[TCP Window Update] 5000  >  37376 [ACK] Seq=1 Ack=8794 Win=89088 Len=0 TSval=3899639729 TSecr=1939742842 SLE=13138 SRE=16034"
"15","0.200379","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=16034 Ack=1 Win=64512 Len=2896 TSval=1939742942 TSecr=3899639629"
"16","0.200383","172.28.0.10","172.28.0.20","TCP","78","[TCP Window Update] 5000  >  37376 [ACK] Seq=1 Ack=8794 Win=93184 Len=0 TSval=3899639729 TSecr=1939742842 SLE=13138 SRE=18930"
"17","0.200404","172.28.0.20","172.28.0.10","TCP","2962","[TCP Previous segment not captured] 37376  >  5000 [PSH, ACK] Seq=21826 Ack=1 Win=64512 Len=2896 TSval=1939742942 TSecr=3899639629"
"18","0.200408","172.28.0.10","172.28.0.20","TCP","86","[TCP Dup ACK 11#1] 5000  >  37376 [ACK] Seq=1 Ack=8794 Win=93184 Len=0 TSval=3899639729 TSecr=1939742842 SLE=21826 SRE=24722 SLE=13138 SRE=18930"
"19","0.200410","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=24722 Ack=1 Win=64512 Len=2896 TSval=1939742942 TSecr=3899639629"
"20","0.200414","172.28.0.10","172.28.0.20","TCP","86","[TCP Dup ACK 11#2] 5000  >  37376 [ACK] Seq=1 Ack=8794 Win=93184 Len=0 TSval=3899639729 TSecr=1939742842 SLE=21826 SRE=27618 SLE=13138 SRE=18930"
"21","0.200420","172.28.0.20","172.28.0.10","TCP","2962","[TCP Previous segment not captured] 37376  >  5000 [PSH, ACK] Seq=30514 Ack=1 Win=64512 Len=2896 TSval=1939742942 TSecr=3899639629"
"22","0.200424","172.28.0.10","172.28.0.20","TCP","94","[TCP Dup ACK 11#3] 5000  >  37376 [ACK] Seq=1 Ack=8794 Win=93184 Len=0 TSval=3899639730 TSecr=1939742842 SLE=30514 SRE=33410 SLE=21826 SRE=27618 SLE=13138 SRE=18930"
"23","0.200530","172.28.0.20","172.28.0.10","TCP","54","55206  >  5000 [RST] Seq=1 Win=0 Len=0"
"24","0.300514","172.28.0.20","172.28.0.10","TCP","2962","[TCP Out-Of-Order] 37376  >  5000 [PSH, ACK] Seq=8794 Ack=1 Win=64512 Len=2896 TSval=1939743042 TSecr=3899639729"
"25","0.300556","172.28.0.10","172.28.0.20","TCP","94","5000  >  37376 [ACK] Seq=1 Ack=11690 Win=91136 Len=0 TSval=3899639830 TSecr=1939743042 SLE=30514 SRE=33410 SLE=21826 SRE=27618 SLE=13138 SRE=18930"
"26","0.300560","172.28.0.20","172.28.0.10","TCP","1514","[TCP Out-Of-Order] 37376  >  5000 [ACK] Seq=11690 Ack=1 Win=64512 Len=1448 TSval=1939743042 TSecr=3899639729"
"27","0.300568","172.28.0.10","172.28.0.20","TCP","86","5000  >  37376 [ACK] Seq=1 Ack=18930 Win=83968 Len=0 TSval=3899639830 TSecr=1939743042 SLE=30514 SRE=33410 SLE=21826 SRE=27618"
