"No.","Time","Source","Destination","Protocol","Length","Info"
"4","0.010182","172.28.0.20","172.28.0.10","TCP","171","51854  >  5000 [PSH, ACK] Seq=1 Ack=1 Win=64512 Len=105 TSval=1939212684 TSecr=3899109371"
"6","0.010249","172.28.0.20","172.28.0.10","RSL","2962","[Malformed Packet]"
"8","0.010263","172.28.0.20","172.28.0.10","TCP","2962","51854  >  5000 [PSH, ACK] Seq=3002 Ack=1 Win=64512 Len=2896 TSval=1939212684 TSecr=3899109371"
"10","0.010265","172.28.0.20","172.28.0.10","TCP","2962","51854  >  5000 [PSH, ACK] Seq=5898 Ack=1 Win=64512 Len=2896 TSval=1939212684 TSecr=3899109371"
"12","0.010268","172.28.0.20","172.28.0.10","TCP","2962","51854  >  5000 [PSH, ACK] Seq=8794 Ack=1 Win=64512 Len=2896 TSval=1939212684 TSecr=3899109371"
"14","0.010270","172.28.0.20","172.28.0.10","TCP","1514","51854  >  5000 [ACK] Seq=11690 Ack=1 Win=64512 Len=1448 TSval=1939212684 TSecr=3899109371"
"16","0.020244","172.28.0.20","172.28.0.10","TCP","2962","51854  >  5000 [PSH, ACK] Seq=13138 Ack=1 Win=64512 Len=2896 TSval=1939212694 TSecr=3899109381"
"18","0.020293","172.28.0.20","172.28.0.10","TCP","2962","51854  >  5000 [PSH, ACK] Seq=16034 Ack=1 Win=64512 Len=2896 TSval=1939212694 TSecr=3899109381"
"20","0.020298","172.28.0.20","172.28.0.10","TCP","2962","51854  >  5000 [PSH, ACK] Seq=18930 Ack=1 Win=64512 Len=2896 TSval=1939212694 TSecr=3899109381"
"22","0.020301","172.28.0.20","172.28.0.10","TCP","2962","51854  >  5000 [PSH, ACK] Seq=21826 Ack=1 Win=64512 Len=2896 TSval=1939212694 TSecr=3899109381"
"24","0.020304","172.28.0.20","172.28.0.10","TCP","2962","51854  >  5000 [PSH, ACK] Seq=24722 Ack=1 Win=64512 Len=2896 TSval=1939212694 TSecr=3899109381"
"26","0.020308","172.28.0.20","172.28.0.10","TCP","2962","51854  >  5000 [PSH, ACK] Seq=27618 Ack=1 Win=64512 Len=2896 TSval=1939212694 TSecr=3899109381"
"28","0.020311","172.28.0.20","172.28.0.10","TCP","2962","51854  >  5000 [PSH, ACK] Seq=30514 Ack=1 Win=64512 Len=2896 TSval=1939212694 TSecr=3899109381"
"30","0.020314","172.28.0.20","172.28.0.10","RSL","2962","ERROR REPORT "
"32","0.020318","172.28.0.20","172.28.0.10","TCP","2962","51854  >  5000 [PSH, ACK] Seq=36306 Ack=1 Win=64512 Len=2896 TSval=1939212694 TSecr=3899109381"
"34","0.020321","172.28.0.20","172.28.0.10","TCP","2962","51854  >  5000 [PSH, ACK] Seq=39202 Ack=1 Win=64512 Len=2896 TSval=1939212694 TSecr=3899109381"
"36","0.030330","172.28.0.20","172.28.0.10","RSL","4410","PAGING Huawei extension "
"38","0.030368","172.28.0.20","172.28.0.10","RSL","1514","[Malformed Packet]"
"40","0.030403","172.28.0.20","172.28.0.10","TCP","4410","51854  >  5000 [PSH, ACK] Seq=47890 Ack=1 Win=64512 Len=4344 TSval=1939212704 TSecr=3899109391"
"42","0.030407","172.28.0.20","172.28.0.10","TCP","1514","51854  >  5000 [ACK] Seq=52234 Ack=1 Win=64512 Len=1448 TSval=1939212704 TSecr=3899109391"
"43","0.030410","172.28.0.20","172.28.0.10","TCP","4410","51854  >  5000 [PSH, ACK] Seq=53682 Ack=1 Win=64512 Len=4344 TSval=1939212704 TSecr=3899109391"
"44","0.030411","172.28.0.20","172.28.0.10","TCP","1514","51854  >  5000 [ACK] Seq=58026 Ack=1 Win=64512 Len=1448 TSval=1939212704 TSecr=3899109391"
"45","0.030413","172.28.0.20","172.28.0.10","TCP","5858","51854  >  5000 [PSH, ACK] Seq=59474 Ack=1 Win=64512 Len=5792 TSval=1939212704 TSecr=3899109391"
"46","0.030415","172.28.0.20","172.28.0.10","TCP","5858","51854  >  5000 [PSH, ACK] Seq=65266 Ack=1 Win=64512 Len=5792 TSval=1939212704 TSecr=3899109391"
"47","0.030417","172.28.0.20","172.28.0.10","TCP","5858","51854  >  5000 [PSH, ACK] Seq=71058 Ack=1 Win=64512 Len=5792 TSval=1939212704 TSecr=3899109391"
