"No.", "Time"    , "Source"     , "Destination", "Protocol", "Length", "Info"
"82" , "0.188854", "172.28.0.20", "172.28.0.10", "UDP"     , "113"   , "33559  >  5001 Len=71"
"83" , "0.189127", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"85" , "0.199655", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"87" , "0.210225", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"89" , "0.220945", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"91" , "0.231680", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"93" , "0.242412", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"95" , "0.253210", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"97" , "0.263945", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"99" , "0.274666", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"101", "0.285268", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"103", "0.295863", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"105", "0.306408", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"107", "0.316923", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"109", "0.327485", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"111", "0.338024", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"113", "0.348436", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"115", "0.358914", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"117", "0.369416", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"119", "0.379788", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"121", "0.390092", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"123", "0.400418", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"125", "0.410970", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"127", "0.421787", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"129", "0.432433", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"131", "0.443214", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"133", "0.453944", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"135", "0.464571", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"137", "0.475215", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"139", "0.485887", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"141", "0.496575", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"143", "0.507414", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"145", "0.518085", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"147", "0.528956", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"149", "0.539812", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"151", "0.550544", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"153", "0.561247", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"155", "0.571951", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
